affiliation,count
"NamesforLife, LLC",59564
"California Polytechnic State University - San Luis Obispo",1823
"Universidade Estadual de Campinas",1390
"DECHEMA e.V.; Society of Chemical Engineering and Biotechnology; Theodor-Heuss-Allee 25 Frankfurt (Main) Germany 60468",1245
"",1143
"Los Alamos National Lab. (LANL), Los Alamos, NM (United States)",1034
"DECHEMA e. V.; Germany",918
"University of Szeged",831
"Institute of Molecular Biology and Genetics, National Academy of Sciences of Ukraine",801
"Educational Testing Service",714
"None",697
"NASA Goddard Space Flight Center; Greenbelt Maryland USA",653
"Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Korea.",640
"Vilnius Gediminas Technical University",631
"UTFPR",566
"Jet Propulsion Laboratory; California Institute of Technology; Pasadena California USA",564
"American Center for Physics, One Physics Ellipse, College Park, Maryland 20740-3842, US",542
"Department of Internal Medicine, Seoul National University College of Medicine, Seoul, Korea.",489
"University of Sydney",484
"Monash University, Australia",428
