container-title,count
"The Lancet",456643
"BMJ",408282
"ChemInform",400474
"Nature",396815
"Lecture Notes in Computer Science",371794
"PsycEXTRA Dataset",339451
"JAMA",284176
"",270015
"SSRN Journal",259111
"Science",250950
"Chemischer Informationsdienst",236045
"SSRN Electronic Journal",232343
"Choice Reviews Online",194586
"JAMA: The Journal of the American Medical Association",194452
"Journal of the American Chemical Society",187154
"J. Am. Chem. Soc.",187154
"Sci Am",186468
"Scientific American",186211
"F1000 - Post-publication peer review of the biomedical literature",173652
"Phys. Rev. B",173068
