license,count,short,open
"http://www.elsevier.com/tdm/userlicense/1.0/",12841404,"Elsevier TDM",FALSE
"http://doi.wiley.com/10.1002/tdm_license_1",7096402,"Wiley TDM",FALSE
"http://onlinelibrary.wiley.com/termsAndConditions",679944,"Wiley general",FALSE
"http://www.elsevier.com/open-access/userlicense/1.0/",626145,"Elsevier 'Open'",TRUE
"http://link.aps.org/licenses/aps-default-license",575718,"APS default",FALSE
"http://www.springer.com/tdm",264080,"Springer TDM",FALSE
"http://creativecommons.org/licenses/by/4.0/",248649,"CC-BY 4.0",TRUE
"http://creativecommons.org/licenses/by/3.0/",201355,"CC-BY 3.0",TRUE
"http://creativecommons.org/licenses/by-nc-nd/4.0/",131502,"CC-BY-NC-ND 4.0",TRUE
"http://creativecommons.org/licenses/by-nc-nd/3.0/",122958,"CC-BY-NC-ND 3.0",TRUE
"http://creativecommons.org/licenses/by-nc/3.0/",67251,"CC-BY-NC 3.0",TRUE
"http://www.acm.org/publications/policies/copyright_policy#Background",33534,"ACM policy",FALSE
"http://iopscience.iop.org/info/page/text-and-data-mining",23488,"IOP TDM",FALSE
"http://link.aps.org/licenses/aps-default-accepted-manuscript-license",19001,"APS default b",FALSE
"http://iopscience.iop.org/page/copyright",15695,"IOP general",FALSE
"http://creativecommons.org/licenses/by-nc/3.0",14449,"CC-BY-NC 3.0",TRUE
"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",9712,"ACS authorchoice",FALSE
"http://creativecommons.org/licenses/by-nc/4.0/",9525,"CC-BY-NC 4.0",TRUE
"https://creativecommons.org/publicdomain/zero/1.0/",7866,"CC-0",TRUE
"http://creativecommons.org/licenses/by/4.0",6141,"CC-BY",TRUE
